experiment,epoch,train_loss,valid_loss,valid_teacher_token_acc,valid_greedy_token_acc,valid_sequence_acc,grad_norm,lr
res_no_residual_no_layernorm,1,3.3153419205974077,3.1230644671700727,0.11021426474904608,0.11021426474904608,0.0,0.5741460802073174,0.0010385630848677417
res_no_residual_no_layernorm,2,3.097920389197035,3.0193856756883806,0.12041385383034928,0.12041385383034928,0.0,0.8331338477895615,0.0020771261697354834
res_no_residual_no_layernorm,3,3.058041268523012,3.083709779498092,0.11094804813619019,0.11094804813619019,0.0,0.8513183834704947,0.0031156892546032257
res_no_residual_no_layernorm,4,3.124115942771745,3.1769386786395657,0.09597886703845025,0.09597886703845025,0.0,0.8970111069527078,0.004154252339470967
res_no_residual_no_layernorm,5,3.2179299906832384,3.1725234739025354,0.09619900205459349,0.09619900205459349,0.0,0.6355254897411834,0.004077050456584014
res_no_residual_no_layernorm,6,3.1627765590929586,3.1649209334068646,0.09928089228059876,0.09928089228059876,0.0,0.5934623971264413,0.0037218208385963354
res_no_residual_no_layernorm,7,3.1349181757542977,3.1083495663798795,0.10441737599060757,0.10441737599060757,0.0,0.5745206006029819,0.0034457365401248208
res_no_residual_no_layernorm,8,3.105618387154933,3.0881383127224282,0.10757264455532727,0.10757264455532727,0.0,0.5054938542716046,0.0032231913945587297
res_no_residual_no_layernorm,9,3.0964881711243892,3.083054032254366,0.11058115644261814,0.11058115644261814,0.0,0.5191696007201012,0.00303885398953947
res_no_residual_no_layernorm,10,3.0863660705599205,3.05798210858389,0.1077927795714705,0.1077927795714705,0.0,0.544774056432095,0.0028829100250902665
res_no_residual_no_layernorm,11,3.074276385579973,3.0534434003636814,0.10918696800704432,0.10918696800704432,0.0,0.5586288406493816,0.002748746857084641
res_no_residual_no_layernorm,12,3.0645752729783218,3.0377036750509063,0.11175520986204872,0.11175520986204872,0.0,0.5491155677653373,0.002631724753332872
