experiment,epoch,train_loss,valid_loss,valid_teacher_token_acc,valid_greedy_token_acc,valid_sequence_acc,grad_norm,lr
pe_none,1,3.176652811325391,2.6177902915871734,0.16869680070443205,0.14727032579982388,0.0,1.4129280340164265,0.0010385630848677417
pe_none,2,2.5471533920063476,2.2724325428059418,0.2532286469034341,0.1410331670090989,0.0,1.4253317225486675,0.0020771261697354834
pe_none,3,2.348567767751457,2.154275054976427,0.27979160551805105,0.14771059583211035,0.001,1.4110088563979941,0.0031156892546032257
pe_none,4,2.2385264628657597,2.118291381800108,0.28294687408277075,0.14499559729967715,0.0,1.1733184171483872,0.004154252339470967
pe_none,5,2.1453217960710154,1.9895421356478848,0.30474024068095096,0.14910478426768417,0.0,0.9445164216325638,0.004077050456584014
pe_none,6,2.0353877650277545,1.9164628459100748,0.3189756383915468,0.14697681244496624,0.0,0.8264314551302727,0.0037218208385963354
pe_none,7,1.9670588425701792,1.8427753901950488,0.32675374229527443,0.15475491634869387,0.0,0.745288407548945,0.0034457365401248208
pe_none,8,1.9180098043040872,1.837395446616112,0.32477252714998534,0.15284707954211918,0.002,0.728900799725918,0.0032231913945587297
pe_none,9,1.885376159793516,1.8116724335066132,0.32748752568241857,0.14176695039624304,0.001,0.705779235413734,0.00303885398953947
pe_none,10,1.8559883358543507,1.7595274320333139,0.3400352216025829,0.150498972703258,0.001,0.6905240283367482,0.0028829100250902665
pe_none,11,1.8278939042168747,1.753796845333367,0.3357058996184326,0.15226005283240387,0.0,0.672730564437014,0.002748746857084641
pe_none,12,1.8077760465286978,1.735463833507989,0.3399618432638685,0.15519518638098034,0.0,0.6645860228132694,0.002631724753332872
