experiment,epoch,train_loss,valid_loss,valid_teacher_token_acc,valid_greedy_token_acc,valid_sequence_acc,grad_norm,lr
pe_sinusoidal,1,3.2364761952658343,2.642206414270023,0.17390666275315528,0.15321397123569122,0.0,1.53691928564234,0.0010385630848677417
pe_sinusoidal,2,2.478340815070434,1.731256133970502,0.40350748459054886,0.270325799823892,0.001,1.8508721209586936,0.0020771261697354834
pe_sinusoidal,3,1.7561045411154594,0.8048939034495844,0.7323158203698268,0.4798943351922512,0.107,2.830815216328235,0.0031156892546032257
pe_sinusoidal,4,1.0774273988043601,0.3882135806071083,0.8740827707660699,0.577194012327561,0.289,2.6741554343954044,0.004154252339470967
pe_sinusoidal,5,0.6098238304058115,0.16524312137192843,0.9515702964484885,0.7602729674200176,0.534,2.083725792296389,0.004077050456584014
pe_sinusoidal,6,0.3692798937677543,0.12425960051478058,0.964705019078368,0.7987232169063693,0.622,1.6457543893063322,0.0037218208385963354
pe_sinusoidal,7,0.26506273932157387,0.1343748251083907,0.9644115057235104,0.7836072791312004,0.637,1.3596105613607041,0.0034457365401248208
pe_sinusoidal,8,0.20383622476099075,0.0658299188863017,0.9796742001761081,0.887657763428236,0.763,1.1547492146492004,0.0032231913945587297
pe_sinusoidal,9,0.1574107689571744,0.05663599630657585,0.9836366304666863,0.8924273554446728,0.798,1.0040302726816623,0.00303885398953947
pe_sinusoidal,10,0.142611155501024,0.0680617782283746,0.981288523627825,0.8734957440563546,0.774,0.9683148905317834,0.0028829100250902665
pe_sinusoidal,11,0.11662878404999312,0.03336288826116411,0.9891400058702671,0.9253742295274435,0.866,0.8505202208427672,0.002748746857084641
pe_sinusoidal,12,0.0993329953301698,0.03748369132944101,0.988039330789551,0.9252274728500147,0.855,0.7775451135128102,0.002631724753332872
