experiment,epoch,train_loss,valid_loss,valid_teacher_token_acc,valid_greedy_token_acc,valid_sequence_acc,grad_norm,lr
res_no_residual,1,3.511840879881431,3.143807713783204,0.1065453478133255,0.1065453478133255,0.0,1.6184446291720613,0.0010385630848677417
res_no_residual,2,3.1429321846295917,2.977173603977106,0.12078074552392133,0.12078074552392133,0.0,0.7966521705718751,0.0020771261697354834
res_no_residual,3,3.033536597908617,2.964608100911267,0.12305547402406809,0.12305547402406809,0.0,0.5897785628095586,0.0031156892546032257
res_no_residual,4,3.011995388116047,2.977448701088751,0.11850601702377458,0.11850601702377458,0.0,0.49119846174057497,0.004154252339470967
res_no_residual,5,2.990832723045864,2.930130134763905,0.12444966245964191,0.12444966245964191,0.0,0.40937542788525844,0.004077050456584014
res_no_residual,6,2.9581555751186963,2.918447679811326,0.12254182565306722,0.12254182565306722,0.0,0.3427830240193834,0.0037218208385963354
res_no_residual,7,2.9424197346807652,2.9069560515345243,0.12034047549163487,0.12034047549163487,0.0,0.31341041355056964,0.0034457365401248208
res_no_residual,8,2.924465233569085,2.8906137137809105,0.12305547402406809,0.12305547402406809,0.0,0.28091344538521257,0.0032231913945587297
res_no_residual,9,2.9112123272205417,2.862090320995836,0.12723803933078956,0.12723803933078956,0.0,0.26258616926188166,0.00303885398953947
res_no_residual,10,2.902733528367141,2.858497541252385,0.12400939242735544,0.12400939242735544,0.0,0.2579532465402116,0.0028829100250902665
res_no_residual,11,2.8931644808397845,2.8538970454613204,0.12400939242735544,0.12400939242735544,0.0,0.25202510553471585,0.002748746857084641
res_no_residual,12,2.8821355631911563,2.840878552973428,0.12444966245964191,0.12444966245964191,0.0,0.24326345689119178,0.002631724753332872
