experiment,pe_type,residual_type,epochs,time_sec,test_id_loss,test_id_teacher_token_acc,test_id_greedy_token_acc,test_id_sequence_acc,test_ood_loss,test_ood_teacher_token_acc,test_ood_greedy_token_acc,test_ood_sequence_acc
pe_none,none,standard,12,2089.2955265045166,1.732958759661242,0.3303147268408551,0.15454275534441805,0.0,2.642606763378658,0.19096692111959288,0.06870229007633588,0.0
pe_simple,simple,standard,12,2139.057998895645,0.3949278607221227,0.8726989311163895,0.5854364608076009,0.273,2.0740840688613233,0.4162849872773537,0.1349236641221374,0.0
pe_learned,learned,standard,12,1947.8144121170044,0.05901891658538311,0.9789192399049881,0.8672802850356295,0.748,5.638154085659192,0.24255725190839694,0.05333969465648855,0.0
pe_sinusoidal,sinusoidal,standard,12,6286.4626615047455,0.037174811272609826,0.986416270783848,0.9118171021377672,0.831,6.911077213044688,0.18466921119592875,0.08225190839694657,0.033
res_no_residual,sinusoidal,no_residual,12,5230.002400875092,2.8466751751027592,0.12314429928741093,0.12314429928741093,0.0,3.2405102601184796,0.0844147582697201,0.0844147582697201,0.0
res_no_layernorm,sinusoidal,no_layernorm,12,2933.53387260437,61.97636707151871,0.056116389548693586,0.055374109263657954,0.0,61.56238867684478,0.033206106870229006,0.034001272264631045,0.0
res_no_residual_no_layernorm,sinusoidal,no_residual_no_layernorm,12,5519.241823673248,3.041030267638435,0.10993171021377672,0.10993171021377672,0.0,3.310014021002306,0.07410941475826972,0.07410941475826972,0.0
