experiment,epoch,train_loss,valid_loss,valid_teacher_token_acc,valid_greedy_token_acc,valid_sequence_acc,grad_norm,lr
pe_learned,1,3.1651752868429526,2.5727662494324646,0.18131787496331084,0.15020545934840035,0.0,1.44257397600945,0.0010385630848677417
pe_learned,2,2.5453730395276626,2.251085071434959,0.2597593190490167,0.14756383915468155,0.0,1.4096904232146892,0.0020771261697354834
pe_learned,3,2.3430553206981326,2.124720728778755,0.30290578221309067,0.16297329028470794,0.0,1.4616548621908148,0.0031156892546032257
pe_learned,4,1.994397026268288,1.3471091639656176,0.5348547108893454,0.2921925447607866,0.012,1.9332993271503043,0.004154252339470967
pe_learned,5,1.4385769572619491,1.0939224014752487,0.6444085705899618,0.4182565306721456,0.044,2.197920123313336,0.004077050456584014
pe_learned,6,1.0337024046351784,0.6159531459242918,0.7919724097446433,0.49200176108012916,0.177,2.3255964492229704,0.0037218208385963354
pe_learned,7,0.7108325994893444,0.33145146080220866,0.8914734370413854,0.612342236571764,0.362,2.25263959549843,0.0034457365401248208
pe_learned,8,0.48326730554661973,0.18235577380933612,0.9437188142060464,0.7429556794834165,0.523,1.8872699965821935,0.0032231913945587297
pe_learned,9,0.3110935299380418,0.10715163275402663,0.9666862342236572,0.7893307895509246,0.645,1.5482536668473101,0.00303885398953947
pe_learned,10,0.2189398997200628,0.08134638028023072,0.9746110948048137,0.8332844144408571,0.706,1.3019456077129283,0.0028829100250902665
pe_learned,11,0.16393380773366512,0.06942569765136289,0.9757851482242442,0.8299823891987086,0.717,1.0765895976665172,0.002748746857084641
pe_learned,12,0.14334735246277808,0.059349993858863644,0.9804813619019666,0.8674787202817729,0.769,0.9999613045377934,0.002631724753332872
