experiment,epoch,train_loss,valid_loss,valid_teacher_token_acc,valid_greedy_token_acc,valid_sequence_acc,grad_norm,lr
res_no_layernorm,1,245.64554436218643,135.88233668733488,0.032726739066627535,0.03228646903434106,0.0,11180039.723819815,0.0010385630848677417
res_no_layernorm,2,1298.0400942157898,564.8546787863223,0.029571470501907837,0.029424713824479014,0.0,1755129.6040974068,0.0020771261697354834
res_no_layernorm,3,2066.1451897596503,499.0127403140593,0.029498092163193424,0.029498092163193424,0.0,4190980.964594415,0.0031156892546032257
res_no_layernorm,4,1722.4476794284974,895.6770160698562,0.03067214558262401,0.031112415614910478,0.0,537358.3548142454,0.004154252339470967
res_no_layernorm,5,2184.2290041324613,370.50697552832406,0.03500146756677429,0.0350748459054887,0.0,750380.6240130485,0.004077050456584014
res_no_layernorm,6,1372.4186049160228,123.26816572497799,0.04615497505136484,0.045641326680363956,0.0,561869.9264409491,0.0037218208385963354
res_no_layernorm,7,401.63196406951675,295.26094483783385,0.03602876430877605,0.036395656002348106,0.0,294368.6711555643,0.0034457365401248208
res_no_layernorm,8,209.859902077967,64.86331392629145,0.030745523921338423,0.0312591722923393,0.0,403873.42092505924,0.0032231913945587297
res_no_layernorm,9,205.33487393368296,132.50698584715292,0.03382741414734371,0.03434106251834459,0.0,91455.82033457655,0.00303885398953947
res_no_layernorm,10,137.90376124323612,29.421765792394336,0.034634575873202234,0.03426768417963017,0.0,67375.5221869286,0.0028829100250902665
res_no_layernorm,11,74.10620317007333,73.76704154589815,0.03500146756677429,0.035221602582917524,0.0,198879.97790722136,0.002748746857084641
res_no_layernorm,12,104.95640193666648,60.59187827909451,0.054886997358379805,0.05334605224537717,0.0,62596.65238011137,0.002631724753332872
